geo_id,geoname_id,name,latitude,longitude,continent,status
201,1279334,Adra,23.49668,86.68363,Asia/Kolkata,0
202,2525769,Adrano,37.66358,14.83283,Europe/Rome,0
203,2508813,Adrar,27.87429,-0.29388,Africa/Algiers,0
204,4983811,Adrian,41.89755,-84.03717,America/Detroit,0
205,10172104,Adrogue,-34.80041,-58.38384,America/Argentina/Buenos_Aires,0
206,1279323,Adur,9.16667,76.73333,Asia/Kolkata,0
207,2293342,Adzope,6.10694,-3.86194,Africa/Abidjan,0
208,2725901,AEngelholm,56.2428,12.86219,Europe/Stockholm,0
209,2288118,Affery,6.32035,-3.95235,Africa/Abidjan,0
210,4374513,Affton,38.55061,-90.33317,America/Chicago,0
211,65785,Afgooye,2.1381,45.1212,Africa/Mogadishu,0
212,2352250,Afikpo,5.89258,7.93534,Africa/Lagos,0
213,584126,Afipskiy,44.90005,38.84265,Europe/Moscow,0
214,2508737,Aflou,34.11279,2.10228,Africa/Algiers,0
215,3408274,Afogados da Ingazeira,-7.75083,-37.63917,America/Recife,0
216,3183455,Afragola,40.92298,14.30935,Europe/Rome,0
217,325304,Afsin,38.24769,36.91399,Europe/Istanbul,0
218,325303,Afyonkarahisar,38.75667,30.54333,Europe/Istanbul,0
219,1279307,Afzalgarh,29.3937,78.67393,Asia/Kolkata,0
220,1279306,Afzalpur,17.19986,76.36018,Asia/Kolkata,0
221,2448085,Agadez,16.97333,7.99111,Africa/Niamey,0
222,2561668,Agadir,30.42018,-9.59815,Africa/Casablanca,0
223,1279299,Agar,23.71177,76.01571,Asia/Kolkata,0
224,344661,Agaro,7.85,36.65,Africa/Addis_Ababa,0
225,1279290,Agartala,23.83605,91.27939,Asia/Kolkata,0
226,4928788,Agawam,42.06954,-72.61481,America/New_York,0
227,2351979,Agbor,6.25375,6.1942,Africa/Lagos,0
228,2293268,Agboville,5.92801,-4.21319,Africa/Abidjan,0
229,148619,Agdam,39.99096,46.92736,Asia/Baku,0
230,587378,Agdas,40.64699,47.4738,Asia/Baku,0
231,3038638,Agde,43.31083,3.47583,Europe/Paris,0
232,587384,Agdzhabedy,40.05015,47.45937,Asia/Baku,0
233,3038634,Agen,44.2,0.63333,Europe/Paris,0
234,1865714,Ageoshimo,35.97145,139.61382,Asia/Tokyo,0
235,144696,Aghajari,30.7006,49.8315,Asia/Tehran,0
236,587361,Aghsu,40.57028,48.40087,Asia/Baku,0
237,264194,Agia Paraskevi,38.01667,23.83333,Europe/Athens,0
238,264111,Agia Varvara,37.98938,23.66011,Europe/Athens,0
239,484856,Agidel',55.9077,53.9355,Asia/Yekaterinburg,0
240,8358563,Agioi Anargyroi,38.03013,23.72379,Europe/Athens,0
241,263986,Agios Dimitrios,37.93333,23.73333,Europe/Athens,0
242,8478257,Agios Ioannis Rentis,37.96491,23.66511,Europe/Athens,0
243,2293260,Agnibilekrou,7.13113,-3.20415,Africa/Abidjan,0
244,2305537,Agogo,6.80004,-1.08193,Africa/Accra,0
245,1731959,Agoo,16.08333,120.1,Asia/Manila,0
246,5322551,Agoura,34.14306,-118.73787,America/Los_Angeles,0
247,5322553,Agoura Hills,34.13639,-118.77453,America/Los_Angeles,0
248,1279259,Agra,27.18333,78.01667,Asia/Kolkata,0
249,309647,Agri,39.71944,43.05139,Europe/Istanbul,0
250,2525764,Agrigento,37.31065,13.57661,Europe/Rome,0
251,265560,Agrinio,38.62139,21.40778,Europe/Athens,0
252,3183412,Agropoli,40.34923,14.99067,Europe/Rome,0
253,583983,Agryz,56.52034,52.99422,Europe/Moscow,0
254,3533269,Agua Dulce,18.13909,-94.14527,America/Mexico_City,0
255,3408175,Agua Preta,-8.7075,-35.53056,America/Recife,0
256,4019260,Agua Prieta,31.33071,-109.54876,America/Hermosillo,0
257,3690465,Aguachica,8.30844,-73.6166,America/Bogota,0
258,3569546,Aguada de Pasajeros,22.3852,-80.84792,America/Havana,0
259,3690431,Aguadas,5.61161,-75.45624,America/Bogota,0
260,4562506,Aguadilla,18.42745,-67.15407,America/Puerto_Rico,0
261,3715042,Aguadulce,8.24183,-80.54609,America/Panama,0
262,3472969,Aguai,-22.05944,-46.97861,America/Sao_Paulo,0
263,3408166,Aguas Belas,-9.11139,-37.12306,America/Recife,0
264,3472869,Aguas de Lindoia,-22.47639,-46.63278,America/Sao_Paulo,0
265,2743304,Aguas Santas,41.21061,-8.5866,Europe/Lisbon,0
266,3472848,Aguas Vermelhas,-15.74722,-41.46,America/Sao_Paulo,0
267,4019233,Aguascalientes,21.88234,-102.28259,America/Mexico_City,0
268,3690316,Aguazul,5.17282,-72.54706,America/Bogota,0
269,3472825,Agudos,-22.46917,-48.9875,America/Sao_Paulo,0
270,3866496,Aguilares,-27.4338,-65.61427,America/Argentina/Tucuman,0
271,3587428,Aguilares,13.95722,-89.18972,America/El_Salvador,0
272,2522333,Aguilas,37.4063,-1.58289,Europe/Madrid,0
273,2522325,Aguimes,27.90539,-15.44609,Atlantic/Canary,0
274,2351740,Agulu,6.10045,7.061,Africa/Lagos,0
275,3792383,Agustin Codazzi,10.03672,-73.23558,America/Bogota,0
276,144616,Ahar,38.4774,47.0699,Asia/Tehran,0
277,2959279,Ahaus,52.07936,7.01344,Europe/Berlin,0
278,2561124,Ahfir,34.95368,-2.10027,Africa/Casablanca,0
279,325103,Ahlat,38.7489,42.48007,Europe/Istanbul,0
280,2959223,Ahlen,51.76338,7.8887,Europe/Berlin,0
